Product Name,Price,Description,Image URL,Availability,Category
Kozy Shack,$3.99,No Description Available,https://media.sobeys.com/original/754000000025700000000007191316_VOILA_bdbe99d52c67c7122f1b850a463185a0b01659b9.JPG,In-stock,Snacks & Candy
Cheetos,$4.79,No Description Available,https://media.sobeys.com/original/869148_EA_ml_primary_front_na_VOILA_f095dca17542bf5a4b7942b3b382e14a3f4da57f.JPG,In-stock,Snacks & Candy
Kellogg's,$1.99,No Description Available,https://media.sobeys.com/original/652159_EA_en_primary_front_071723_VOILA_09ae9d5d800c440dd5a17192df4f837b6275d5ba.JPG,In-stock,Snacks & Candy
Larabar,$24.99,"Lara’s Favourite. Cashew delivers a wallop of rich and creamy flavour. This 3-ingredient treat is a simple blend of cashews, dates and apples. LÄRABAR believe that a sound mind, body and spirit are derived from what you eat – and that food is most satisfying in its simplest form. A magical harmony of fruits and nuts, LÄRABAR contains only the best ingredients. Simple and delicious. Enjoy!",https://media.sobeys.com/original/233385_CAR_ml_primary_front_013123_VS_VOILA_2f5df93d551726781ad919682f3ba7671cafec74.JPG,In-stock,Snacks & Candy
Gogo Squeez,$3.99,No Description Available,https://media.sobeys.com/original/260012_EA_en_primary_Front_NA_032124_VOILA_72311061bd5740526adb78d37cc6240ec0c96cfe.JPG,In-stock,Snacks & Candy
Black Small Plums,$8.80/kg,No Description Available,https://www.freshco.com/_next/image?url=%2Floader.svg&w=128&q=75,In-stock,Fruits & Vegetables
Golden Pineapple 1 Count,$3.99,No Description Available,https://media.sobeys.com/original/5050372116002_VOILA_b864fb6f845b3f3714e75c864cb6e73abd47c38e.JPG,In-stock,Fruits & Vegetables
Orange 5 lb Juice 2.27 KG,$4.99,No Description Available,https://www.freshco.com/_next/image?url=%2Floader.svg&w=128&q=75,In-stock,Fruits & Vegetables
Fresh Dates Yellow 5 kg,$11.00/kg,No Description Available,https://media.sobeys.com/original/335234_KG_ml_primary_na_na_042925_GPHP_VOILA_221e61fcacb8959ade75109e6ec2f2f9989ec25c.JPG,In-stock,Fruits & Vegetables
Indian Eggplant,$3.95,No Description Available,https://www.freshco.com/_next/image?url=%2Floader.svg&w=128&q=75,In-stock,Fruits & Vegetables
Hata,$2.49,No Description Available,https://media.sobeys.com/original/324_EA_ml_primary_front_NA_041724_VOILA_05b056f8565989dc53338386907d5f82451a0c87.JPG,In-stock,Dairy & Eggs
Oikos,$7.49,"Gone are the scary days when choosing the right snack meant suffering from blank page syndrome! Put your creativity to work and beat your cravings with Oikos High Protein Plain Greek yogurt. Enjoy the same great taste you know and love, now with even more protein and a thick texture! Made with 100% Canadian milk, the new Oikos High Protein Plain Greek yogurt boasts 19 grams of protein per 175 gram serving. Try it today!",https://media.sobeys.com/original/598017_EA_en_primary_front_na_081325_VOILA_d13e0121e17a1db5b725a9e381c1f21effcbcb69.JPG,In-stock,Dairy & Eggs
YOP,$1.39,"Yoplait. Delicious, Fun Family Yogurt. Yoplait Yop 1% Drinkable Yogurt features a deliciously smooth texture and a portable format perfect for breakfast on-the-go. Yoplait Yop 1% M.F. Drinkable Yogurt is the on-the-go yogurt you need to keep you going all day. Yoplait Yop 1% M.F. Drinkable Yogurt contains no gelatin, artificial flavours, or added colours. This portable yogurt drink is convenient to add to a lunchbox or gym bag and a good source of calcium & vitamin D. The fresh milk used in Yoplait products is sourced from Canadian dairy farmers and is free of added growth hormones and antibiotics. Contains one 200 mL drinkable yogurt in total.",https://media.sobeys.com/original/983471_EA_ml_primary_front_na_020325_VOILA_0849555b6319c16e36a3b9095cfc2111220068ef.JPG,In-stock,Dairy & Eggs
